ID,edad,genero,ingresospersonales,niveldeestudios,estadocivil,ocupacion,hijos
1,3,1,4,6,2,5,2
2,3,1,1,5,1,4,1
3,6,2,1,4,2,4,3
4,4,2,5,6,2,1,2
5,3,2,4,5,1,1,1
6,3,2,5,6,2,5,2
7,4,2,5,5,1,1,1
8,5,1,5,5,4,2,3
9,3,1,4,5,1,1,1
10,2,1,3,4,2,1,2
11,4,2,4,5,3,2,2
12,2,1,1,3,1,3,1
13,3,2,3,6,3,5,2
14,3,2,4,6,1,1,2
15,1,1,1,4,1,3,1
16,5,1,5,4,4,2,1
17,5,2,5,6,2,1,3
18,4,2,4,6,2,1,2
19,4,1,4,4,4,2,2
20,5,2,3,4,1,2,1
21,3,1,2,5,1,2,1
22,2,1,3,4,1,1,1
23,4,2,5,5,2,1,3
24,5,2,3,3,3,5,1
25,1,1,1,4,1,3,1
26,4,1,4,6,2,1,3
27,4,2,5,5,2,2,2
28,4,2,4,6,1,2,1
29,3,1,5,5,2,2,1
30,4,1,4,5,1,1,2
31,3,2,5,6,3,2,2
32,5,2,5,5,2,1,3
33,4,1,1,4,3,5,2
34,2,1,3,5,1,2,1
35,5,2,5,5,2,1,3
36,3,1,5,5,2,1,2
37,2,1,1,4,1,2,1
38,2,1,1,4,1,3,1
39,3,1,5,6,2,1,2
40,3,2,4,5,2,1,2
41,3,2,5,6,2,2,1
42,2,1,1,3,1,3,1
43,3,2,4,6,4,2,2
44,4,2,2,5,2,1,2
45,3,1,2,5,2,2,4
46,2,2,3,5,2,5,2
47,4,2,5,6,2,1,2
48,5,2,4,5,2,1,1
49,5,2,3,4,2,5,1
50,3,1,1,5,1,4,1
51,6,2,5,6,2,2,3
52,2,1,2,4,1,2,2
53,4,1,3,5,2,1,2
54,3,1,3,5,2,2,2
55,3,1,3,4,2,5,2
56,6,1,4,4,4,2,3
57,5,1,1,2,3,2,1
58,2,2,1,3,1,3,1
59,3,2,1,4,1,5,1
60,3,1,4,5,1,5,1
61,3,1,2,4,1,2,2
62,4,1,5,5,2,2,3
63,4,2,1,4,3,4,1
64,2,2,4,5,1,1,1
65,2,1,1,4,1,5,2
66,2,1,1,4,1,5,2
67,3,1,4,5,1,1,1
68,5,2,5,6,2,1,3
69,5,2,4,4,3,1,1
70,3,1,3,3,3,2,2
71,4,2,5,5,2,5,2
72,4,2,5,6,2,2,2
73,3,2,5,4,1,2,1
74,5,2,5,6,2,1,3
75,5,1,3,5,4,1,3
76,2,2,1,4,1,3,1
77,3,1,2,5,2,2,4
78,5,1,3,4,1,1,3
79,2,1,2,4,2,2,1
80,3,1,2,4,2,5,2
81,3,1,3,5,1,1,1
82,4,2,5,5,1,5,1
83,2,1,2,4,2,1,2
84,3,1,5,6,2,1,2
85,3,2,2,4,2,5,2
86,4,1,5,6,3,1,3
87,3,2,1,3,2,5,2
88,5,1,2,4,4,5,3
89,5,1,3,5,2,1,3
90,3,1,4,5,2,5,2
91,4,1,2,5,3,3,1
92,2,2,1,3,1,3,1
93,5,1,4,6,3,1,1
94,4,1,2,5,2,4,2
95,4,1,2,4,4,2,2
96,4,2,3,4,2,2,2
97,3,2,4,4,4,2,2
98,2,1,1,3,1,3,1
99,4,1,5,5,1,6,2
100,2,2,2,4,1,2,1
101,4,2,5,6,2,1,2
102,5,2,3,5,3,1,3
103,2,1,1,3,1,3,1
104,4,2,1,4,3,4,1
105,4,2,5,6,3,1,2
106,3,1,4,4,2,2,2
107,2,1,2,3,2,1,2
108,4,1,2,4,2,5,2
109,3,2,3,4,1,2,1
110,3,1,3,4,1,1,1
111,3,1,2,5,2,4,4
112,2,2,1,4,1,3,1
113,4,1,2,4,3,5,2
114,2,1,1,4,1,3,1
115,4,1,3,4,4,5,1
116,5,1,2,4,1,1,3
117,4,2,5,5,2,5,1
118,2,1,3,4,1,2,1
119,4,1,5,5,1,2,1
120,4,1,2,3,2,2,3
121,4,1,4,5,1,1,1
122,1,1,1,3,1,3,1
123,2,1,1,3,1,3,1
124,2,1,1,4,1,3,1
125,3,2,3,5,2,1,2
126,4,1,2,4,2,1,2
127,2,2,2,4,1,3,1
128,3,1,2,4,2,1,2
129,2,1,1,3,2,2,2
130,4,2,4,6,4,2,1
131,4,1,4,5,2,1,2
132,5,1,3,3,4,2,3
133,4,1,5,5,2,5,1
134,3,1,2,5,1,1,2
135,3,2,3,5,2,1,4
136,3,1,1,5,1,3,1
137,3,2,4,5,2,1,1
138,5,1,2,2,2,1,3
139,6,1,4,6,2,2,3
140,4,2,5,3,2,2,3
141,2,2,2,4,1,2,1
142,1,1,1,4,1,3,1
143,4,1,2,4,2,1,2
144,5,1,2,4,4,2,3
145,4,1,3,5,2,1,2
146,2,2,2,4,3,3,1
147,2,2,3,4,1,1,1
148,3,2,3,4,1,5,1
149,2,2,1,4,1,3,1
150,4,1,5,5,2,1,2
151,4,1,2,4,4,5,3
152,3,2,2,4,2,1,2
153,5,2,5,6,2,1,1
154,3,1,5,6,3,1,2
155,4,1,4,5,1,1,1
156,5,2,4,3,2,1,3
157,3,2,4,5,1,1,1
158,6,2,4,6,3,6,3
159,4,1,2,4,2,1,3
