"k_fold","width","height","accuracy","F1","precision","recall","group","model","features","ALGG","MSE","RMSE","dimentions","order"
"1",940,940,0.818181818,0.852380952,0.80952381,0.830399782,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"2",940,940,0.772727273,0.728571429,0.761904762,0.744865358,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"3",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"4",940,940,0.909090909,0.916666667,0.904761905,0.910675381,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"5",940,940,0.772727273,0.85,0.785714286,0.816593886,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"6",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"7",940,940,0.863636364,0.9,0.857142857,0.87804878,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"8",940,940,0.636363636,0.676190476,0.630952381,0.65278862,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"9",940,940,0.952380952,0.964285714,0.952380952,0.958296362,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"10",940,940,0.761904762,0.8,0.75,0.774193548,"G03","RFC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"1",940,940,0.909090909,0.916666667,0.904761905,0.910675381,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"2",940,940,0.772727273,0.792857143,0.761904762,0.777072851,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"3",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"4",940,940,0.818181818,0.833333333,0.80952381,0.821256039,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"5",940,940,0.772727273,0.830952381,0.761904762,0.794932024,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"6",940,940,0.863636364,0.869047619,0.857142857,0.863054187,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"7",940,940,0.818181818,0.852380952,0.80952381,0.830399782,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"8",940,940,0.772727273,0.8,0.773809524,0.786686838,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"9",940,940,0.619047619,0.633333333,0.619047619,0.626108999,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"10",940,940,0.714285714,0.726190476,0.714285714,0.720188902,"G03","XGBC","GLCM","CLASSIFIERS",NA,NA,"940x940",7
"1",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"2",940,940,1,1,1,1,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"3",940,940,1,1,1,1,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"4",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"5",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"6",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"7",940,940,1,1,1,1,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"8",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"9",940,940,0.857142857,0.880952381,0.869047619,0.874959508,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"10",940,940,0.952380952,0.964285714,0.952380952,0.958296362,"G03","RFC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"1",940,940,0.863636364,0.892857143,0.869047619,0.880791506,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"2",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"3",940,940,0.909090909,0.942857143,0.904761905,0.923416789,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"4",940,940,0.727272727,0.838095238,0.714285714,0.771253287,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"5",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"6",940,940,0.818181818,0.871428571,0.833333333,0.851955307,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"7",940,940,0.818181818,0.845238095,0.80952381,0.826995546,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"8",940,940,1,1,1,1,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"9",940,940,0.952380952,0.964285714,0.964285714,0.964285714,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"10",940,940,0.904761905,0.892857143,0.892857143,0.892857143,"G03","XGBC","GRAY_CH","CLASSIFIERS",NA,NA,"940x940",1
"1",940,940,0.863636364,0.892857143,0.869047619,0.880791506,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"2",940,940,0.863636364,0.907142857,0.857142857,0.881434355,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"3",940,940,0.772727273,0.804761905,0.761904762,0.782747141,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"4",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"5",940,940,0.818181818,0.847619048,0.80952381,0.828133552,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"6",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"7",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"8",940,940,0.863636364,0.907142857,0.869047619,0.88768671,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"9",940,940,0.714285714,0.738095238,0.738095238,0.738095238,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"10",940,940,1,1,1,1,"G03","RFC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"1",940,940,0.909090909,0.928571429,0.904761905,0.916512059,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"2",940,940,0.818181818,0.857142857,0.80952381,0.832653061,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"3",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"4",940,940,0.772727273,0.776190476,0.761904762,0.768981277,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"5",940,940,0.727272727,0.735714286,0.714285714,0.724841661,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"6",940,940,0.772727273,0.797619048,0.761904762,0.779352963,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"7",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"8",940,940,0.818181818,0.821428571,0.80952381,0.815432742,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"9",940,940,0.80952381,0.833333333,0.80952381,0.821256039,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"10",940,940,0.857142857,0.880952381,0.869047619,0.874959508,"G03","XGBC","HRLK","CLASSIFIERS",NA,NA,"940x940",6
"1",940,940,0.863636364,0.907142857,0.880952381,0.893855811,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"2",940,940,0.954545455,0.971428571,0.952380952,0.961810467,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"3",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"4",940,940,0.863636364,0.857142857,0.857142857,0.857142857,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"5",940,940,0.727272727,0.814285714,0.714285714,0.761014686,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"6",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"7",940,940,0.818181818,0.821428571,0.80952381,0.815432742,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"8",940,940,0.909090909,0.928571429,0.916666667,0.922580645,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"9",940,940,0.952380952,0.964285714,0.952380952,0.958296362,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"10",940,940,0.80952381,0.85952381,0.833333333,0.846225973,"G03","RFC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"1",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"2",940,940,0.863636364,0.895238095,0.869047619,0.881948461,"G03","XGBC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"3",940,940,1,1,1,1,"G03","XGBC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
"4",940,940,0.909090909,0.904761905,0.904761905,0.904761905,"G03","XGBC","HSV_CH","CLASSIFIERS",NA,NA,"940x940",2
