"AGE","SEX","RACE","MARST","EDUC","MINUTES","EDUCNUM"
25,"Male","White","Single","High School Degree",40,1
65,"Female","White","Separated/Divorced","Some College",36,2
56,"Male","White","Single","Four Year Degree",40,3
53,"Female","White","Married","Some College",37,2
51,"Female","White","Married","Some College",40,2
57,"Female","White","Married","Four Year Degree",40,3
50,"Female","White","Married","Some College",40,2
50,"Male","White","Married","Advanced Degree",45,4
50,"Female","White","Married","Four Year Degree",40,3
52,"Female","White","Single","Advanced Degree",40,4
47,"Female","White","Single","Four Year Degree",40,3
45,"Female","White","Married","Some College",40,2
56,"Female","White","Married","Some College",47,2
53,"Male","White","Married","Four Year Degree",40,3
35,"Female","White","Married","Four Year Degree",40,3
36,"Male","White","Married","Four Year Degree",55,3
40,"Female","White","Married","Some College",36,2
62,"Male","Asian/Pacific Islander","Married","Advanced Degree",40,4
63,"Female","White","Married","Advanced Degree",40,4
58,"Male","White","Married","Four Year Degree",40,3
41,"Female","White","Married","Four Year Degree",40,3
47,"Male","White","Married","Four Year Degree",40,3
35,"Male","White","Single","Some College",40,2
45,"Female","White","Married","Some College",36,2
64,"Male","White","Widowed","Some College",40,2
62,"Female","White","Married","Four Year Degree",40,3
57,"Male","White","Separated/Divorced","High School Degree",40,1
42,"Male","White","Married","Four Year Degree",40,3
41,"Female","White","Married","Some College",40,2
57,"Female","White","Separated/Divorced","Advanced Degree",60,4
62,"Male","White","Widowed","Some College",40,2
66,"Female","White","Married","Four Year Degree",50,3
41,"Female","White","Single","Advanced Degree",40,4
36,"Female","White","Single","Four Year Degree",23,3
57,"Female","White","Married","Four Year Degree",40,3
43,"Female","White","Married","Four Year Degree",40,3
42,"Female","White","Separated/Divorced","Some College",40,2
31,"Female","White","Separated/Divorced","Some College",40,2
80,"Female","White","Widowed","Some College",16,2
57,"Male","White","Married","Some College",45,2
53,"Female","White","Married","Some College",40,2
39,"Male","White","Married","Advanced Degree",0,4
36,"Female","White","Married","Advanced Degree",40,4
45,"Female","White","Married","Some College",48,2
50,"Female","White","Married","Four Year Degree",30,3
36,"Male","White","Separated/Divorced","Some College",0,2
43,"Female","White","Separated/Divorced","Four Year Degree",42,3
44,"Male","White","Separated/Divorced","Some College",40,2
56,"Male","White","Separated/Divorced","Four Year Degree",20,3
37,"Female","White","Married","Four Year Degree",35,3
45,"Female","White","Married","Four Year Degree",40,3
45,"Male","White","Married","Four Year Degree",60,3
50,"Male","White","Married","Four Year Degree",20,3
54,"Female","White","Married","Four Year Degree",15,3
67,"Male","White","Married","Some College",50,2
51,"Female","White","Married","Some College",40,2
72,"Male","White","Married","Some College",20,2
51,"Female","White","Separated/Divorced","Some College",36,2
33,"Female","White","Married","Four Year Degree",45,3
29,"Male","White","Married","Some College",50,2
59,"Male","White","Separated/Divorced","Some College",77,2
38,"Male","White","Married","Four Year Degree",65,3
46,"Male","White","Separated/Divorced","Some College",30,2
57,"Male","White","Separated/Divorced","Some College",35,2
64,"Male","White","Single","High School Degree",40,1
69,"Female","White","Married","Some College",20,2
52,"Male","White","Married","Some College",40,2
52,"Female","White","Married","Some College",36,2
35,"Male","White","Married","Four Year Degree",60,3
38,"Female","White","Married","Some College",40,2
58,"Male","White","Married","Some College",40,2
56,"Male","White","Married","Some College",50,2
57,"Male","White","Married","Four Year Degree",50,3
52,"Female","White","Married","Four Year Degree",40,3
52,"Male","White","Married","Four Year Degree",50,3
59,"Male","White","Married","Advanced Degree",42,4
46,"Female","White","Married","Advanced Degree",40,4
57,"Female","White","Married","Four Year Degree",42,3
58,"Male","White","Married","Advanced Degree",46,4
53,"Female","White","Married","Some College",40,2
58,"Female","White","Married","Some College",43,2
39,"Female","White","Married","Some College",40,2
65,"Female","White","Married","Advanced Degree",19,4
65,"Male","White","Married","Advanced Degree",28,4
44,"Female","White","Married","Some College",25,2
