,ID,start_time,completion_time,email,name,gender,age,start_sector,bus_frequency,bus_waiting_time,bus_avg_spending,taxi_frequency,taxi_waiting_time,taxi_avg_spending,service_freq_order,trip_avg_time,trip_avg_km,transport_energy_source,pay_more_no_gas,EV_worries,env_pay_no_more_taxi,route_pay_no_more_taxi,env_pay_no_more_bus,transport_alternatives,massive_transport_weakness
0,55,1/16/20-14:35:32,1/16/20-14:37:07,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,menos_10_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
1,56,1/16/20-14:36:10,1/16/20-14:37:17,anonymous,,Hombre,18-24,Valle_de_Tumbaco_y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
2,57,1/16/20-14:38:06,1/16/20-14:38:49,anonymous,,Hombre,18-24,Norte_de_Quito,1_dia_a_la_semana,menos_10_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
3,58,1/16/20-14:46:50,1/16/20-14:47:34,anonymous,,Hombre,18-24,Valle_de_Tumbaco_y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,1.25,No_me_movilizo_en_taxi,,,,,,,,,,,,,
4,59,1/16/20-14:46:08,1/16/20-14:48:21,anonymous,,Hombre,18-24,Norte_de_Quito,No_me_movilizo_en_bus,,,5_o_mas_dias_a_la_semana,menos_10_minutos,de_2_a_3_dolares,Taxi_Amarillo;Uber;Cabify;In_drive;Otra,menos_de_20_minutos,8-15,Combustible_fosil,NO,Velocidad_del_vehiculo,0.25_cvs,0.5_cvs,0.10_cvs,,
5,60,1/16/20-14:47:36,1/16/20-14:48:24,anonymous,,Hombre,25-34,Norte_de_Quito,4_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
6,61,1/16/20-14:46:37,1/16/20-14:48:48,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,menos_10_minutos,0.50_cvs,2_dias_a_la_semana,menos_10_minutos,de_2_a_3_dolares,Uber;In_drive;Taxi_Amarillo;Cabify;Otra,menos_de_20_minutos,menos_de_8,Me_es_indiferente,NO,Velocidad_del_vehiculo,0.75_cvs,0.75_cvs,0.10_cvs,,
7,62,1/16/20-14:47:30,1/16/20-14:49:43,anonymous,,Hombre,18-24,Valle_de_los_Chillos__y_alrededores,3_dias_a_la_semana,menos_10_minutos,1.5,1_dia_a_la_semana,menos_10_minutos,de_2_a_3_dolares,Uber;Cabify;Taxi_Amarillo;In_drive;Otra,menos_de_20_minutos,8-15,Electrico,SI,Tiempo_de_autonomia,1_dolar,1_dolar,0.25_cvs,,
8,63,1/16/20-14:48:58,1/16/20-14:49:58,anonymous,,Hombre,18-24,Valle_de_los_Chillos__y_alrededores,4_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
9,64,1/16/20-14:46:19,1/16/20-14:50:03,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,0.50_cvs,1_dia_a_la_semana,menos_10_minutos,de_2_a_3_dolares,Taxi_Amarillo;Uber;Cabify;Otra;In_drive,31_a_40_minutos,8-15,Me_es_indiferente,NO,Tiempo_de_autonomia,0.25_cvs,0.5_cvs,0.10_cvs,,
10,65,1/17/20-14:38:25,1/17/20-14:40:03,anonymous,,Hombre,18-24,Norte_de_Quito,No_me_movilizo_en_bus,,,5_o_mas_dias_a_la_semana,10-20_minutos,de_2_a_3_dolares,Uber;Cabify;In_drive;Taxi_Amarillo;Otra,21_a_30_minutos,16-23,Combustible_fosil,NO,Tiempo_de_autonomia,0.5_cvs,0.75_cvs,0.20_cvs,,
11,66,1/17/20-14:38:09,1/17/20-14:40:24,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,2_dias_a_la_semana,menos_10_minutos,de_2_a_3_dolares,Uber;In_drive;Taxi_Amarillo;Cabify;Otra,menos_de_20_minutos,menos_de_8,Me_es_indiferente,NO,Tiempo_de_autonomia,0.75_cvs,1_dolar,0.15_cvs,,
